FID	IID	PHENO
i9712-6	i9712-6	5.38241155768937
i9713-12	i9713-12	1.47795214964375
i9713-18	i9713-18	0.653888001830868
i9713-22	i9713-22	1.53914842495519
i9714-14	i9714-14	7.31116909649372
i9715-16	i9715-16	2.71453207204304
i9716-19	i9716-19	1.95094100511509
i9721-24	i9721-24	3.55417571419636
i9724-23	i9724-23	11.9971166100189
i9725-24	i9725-24	14.9928550111671
i9727-25	i9727-25	8.95476360466178
i9727-6	i9727-6	4.62830655266092
i9728-3	i9728-3	2.14280351913004
i9729-16	i9729-16	0.209327432185324
i9730-4	i9730-4	-2.03278017517046
i9730-9	i9730-9	9.73620362438949
i9731-24	i9731-24	2.64278376714794
i9732-5	i9732-5	1.94480473506492
i9732-6	i9732-6	4.70209419283398
i9734-24	i9734-24	11.1625059701118
i9734-5	i9734-5	8.30264446744234
i9735-16	i9735-16	9.81178270033487
i9735-9	i9735-9	12.0822493540224
i9736-6	i9736-6	9.61977154420578
i9737-11	i9737-11	0.371474487792018
i9739-1	i9739-1	7.49002249839457
i9739-2	i9739-2	7.02958826751127
i9739-3	i9739-3	7.32828364817197
i974-18	i974-18	9.90687012470229
i974-3	i974-3	-5.03872357306728
i975-21	i975-21	0.453365677750128
i976-21	i976-21	8.62300576744804
i976-23	i976-23	9.34015676572495
i977-4	i977-4	-4.7997064486022
i977-6	i977-6	5.63136640506318
i978-19	i978-19	14.5930729466615
i978-8	i978-8	-5.29580823714523
i979-15	i979-15	-3.88073816756526
i979-21	i979-21	2.59433928789311
i979-8	i979-8	8.43498783603645
i979-9	i979-9	5.06772592460604
